WMC;Part_id
0,67494;25
0,88022;36
0,15374;115
1,78764;131
-0,3752;59
-0,94966;128
0,84134;81
1,5657;37
0,62189;74
0,67519;55
0,7869;76
0,02776;169
-0,39096;40
-1,72664;43
1,22236;108
0,81475;107
0,30628;172
-0,48924;162
0,29171;142
0,98141;159
-0,45183;136
-1,6374;140
0,37572;46
0,66269;28
0,61211;129
0,49171;119
0,44522;79
0,18737;139
0,4231;145
0,69091;96
-0,80659;134
-0,19599;181
0,98876;157
2,74365;56
1,64743;85
-0,54809;18
-2,3399;32
0,4995;101
-0,56816;164
-0,1335;113
0,2167;82
-0,32989;155
-0,56695;69
0,87854;64
0,62249;174
0,97264;14
0,04731;117
-1,27648;27
0,88588;92
0,85267;132
0,12159;130
-0,23891;44
-1,0911;146
-2,59513;10
-0,2324;86
1,16383;50
-0,00995;173
-0,61374;102
-0,00696;126
-0,51314;20
-1,25746;83
1,44175;16
0,18828;180
1,1792;171
-3,16609;52
1,01007;135
-0,90244;72
-0,62684;61
0,45742;17
-0,57557;12
-0,48953;170
-1,86277;95
0,95534;123
-0,28141;15
-0,45179;166
-0,36409;150
1,88547;106
-0,86724;65
-1,00191;120
1,04474;148
-0,02163;133
-0,16962;165
1,02355;90
0,62952;104
-0,96556;175
0,53567;112
-0,45374;89
1,72781;30
-0,19801;98
0,01455;152
-1,79977;168
-1,30382;110
1,22301;60
0,89092;100
-0,26091;122
-2,07975;51
-0,39161;94
0,08462;9
-0,10334;80
-0,84963;124
-0,90041;178
0,51337;42
-0,85117;149
-1,42293;163
0,07444;38
1,35767;154
-0,49184;177
-0,84125;62
0,2498;22
1,04888;68
-0,70113;33
-1,07456;24
0,0431;77
0,07479;144
