,Kx,FOx_STD,RMx_STD,RMk
0,837,0.1225526489967445,0.13598638801322482,210
1,837,0.09449670366322205,0.1399347082473412,248
2,837,0.10077384035755736,0.12178964072445703,350
3,835,0.1134346382193694,0.1226436200402161,388
4,830,0.20657648604292164,0.11439155168322067,406
5,821,0.20744437567580912,0.11140877906000385,419
6,798,0.21485918849805435,0.1064935553187621,424
7,783,0.2200680770922931,0.09921680478132995,426
8,740,0.1221914995568738,0.09491345557342708,379
9,686,0.12015663065164951,0.09994095443475588,396
10,646,0.12783818730725935,0.1108360021796266,367
11,581,0.13340690702403302,0.10573758870279074,331
12,506,0.125110059135208,0.10674797323793671,286
13,456,0.12165708537505882,0.1074118936654943,264
14,407,0.12472967686166318,0.11084230612408431,238
15,345,0.12806696072329754,0.11094871326304802,200
16,305,0.12262530003922517,0.11254960445426382,187
17,259,0.13224341695436875,0.10377741328051279,150
18,222,0.14660789320296427,0.11234145981596648,129
19,187,0.12570350599784438,0.10783629022318568,119
20,171,0.12950030736326695,0.11378829862523039,111
21,141,0.13426958457173113,0.10646937587625616,92
22,111,0.17304233795550159,0.10630258096461,64
23,52,0.14135361685207035,0.11342225439798265,29
