,Kx,FOx,FOx_mean,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx,FOx_power
0,4415,1394.9350000000054,0.19379480411225342,0.11345898047690059,10411752,493.2448052660665,1244.8400176660084,0.34510986575487845,2323,0.31595356738391966,0.5358760299896721,2358.2677236693094,7198
1,4415,2881.713000000001,0.20431884571752693,0.1260382961452892,20551422,497.51021130807305,1356.8356814845401,0.2977056041444106,2529,0.6527096262740659,0.5365107479179676,4654.908720271801,14104
2,4415,4368.423000000003,0.21228608222373407,0.12767079615701837,30147010,500.0920750677594,1765.6707149967249,0.28325623212714046,3099,0.9894502831257086,0.569754990318401,6828.31483578709,20578
3,4361,5198.845000000021,0.2188618758945862,0.13334944193361475,34773166,505.7593327125132,2020.7694782967787,0.28262185068893325,3384,1.1921222196743915,0.5971541011515303,7973.66796606283,23754
4,4263,5353.982000000004,0.22156853170004967,0.15042482184894246,35299445,501.10805152869,2140.0117299981753,0.2791920908026959,3432,1.2559188365001182,0.6235465413747597,8280.423410743608,24164
5,4143,5366.716000000023,0.22309261722647158,0.1503082985774612,35012011,485.1197676116542,2181.8135476885604,0.2824055806728478,3387,1.29536953898142,0.6441728809236966,8450.883659184166,24056
6,3962,5044.208000000025,0.22642104318161418,0.16916487794541754,32217137,484.6396149907251,2174.3020175742136,0.28236983904806856,3259,1.273146895507326,0.6671684619742907,8131.533821302372,22278
7,3783,4898.156000000002,0.22815017001257626,0.17120315634926472,31524191,506.04230714649674,2127.2242439446663,0.28148779578205896,3136,1.2947808617499343,0.6783240573803145,8333.119481892678,21469
8,3571,4568.995999999986,0.22824438005794787,0.1535511207143486,29347866,499.1184904438505,2060.9411128796937,0.2797684459986003,2971,1.2794724166899991,0.6936860023156155,8218.388686642396,20018
9,3318,4264.546000000005,0.22912884160756503,0.1347383952383221,27085376,499.76415819411835,1943.8548359307624,0.27990094200612575,2757,1.285276069921641,0.7050616017159095,8163.163351416516,18612
10,3062,3925.95,0.23063976031018682,0.1351243879684235,24908002,501.497985707418,1841.0663772612281,0.28370335959170473,2578,1.2821521881123448,0.7141452200392662,8134.553233180927,17022
11,2784,3635.1369999999724,0.23136055244399187,0.1370596611600653,22855533,498.5111728085779,1698.8366708996684,0.2786872646212128,2368,1.3057244971264268,0.7174141346704681,8209.602370689656,15712
12,2515,3194.7079999999974,0.23213980526086325,0.13529927992092536,20166479,496.26096881900133,1527.7448767809835,0.28308933007220816,2123,1.2702616302186869,0.7196160512392763,8018.480715705766,13762
13,2273,2877.4930000000104,0.23276921210160167,0.13399699260441805,18265250,504.523250597068,1398.8554198265726,0.28044500268788863,1914,1.2659450065992126,0.7308544513200484,8035.745710514739,12362
14,2032,2539.0110000000072,0.230066237767307,0.12957308011274968,16128380,502.4368055616513,1269.1614087332598,0.2761416622222329,1720,1.2495132874015784,0.7378845399611975,7937.194881889764,11036
15,1800,2320.064999999994,0.23175157326940363,0.14112712979024616,14798639,508.42744984093383,1125.654868643424,0.2750103389352468,1530,1.2889249999999968,0.7357221363682509,8221.46611111111,10011
16,1606,2047.6689999999953,0.2305673910595654,0.14314756399554035,13277788,518.867500905146,1008.8825404507043,0.2711112902525999,1345,1.2750118306351155,0.7500985430860254,8267.61394769614,8881
17,1414,1812.8100000000022,0.232590454195535,0.13537812199931948,11591761,512.4469921082615,893.5231592779928,0.27660117619441704,1204,1.2820438472418687,0.7421288698322199,8197.850777934937,7794
18,1224,1556.241999999996,0.23269168660287085,0.13558058979960574,10029515,514.5780646121437,782.7632179939009,0.27315383593610226,1040,1.2714395424836569,0.7526569403787509,8194.04820261438,6688
19,1060,1377.6480000000045,0.23413460231135286,0.1368803778141785,8909188,517.7185289104907,685.0035235730162,0.26447609248974346,908,1.299667924528306,0.7544091669306345,8404.894339622642,5884
20,911,1156.6260000000027,0.23160312374849823,0.134928564578821,7458832,508.31930484758414,606.0493326421026,0.2563161742002222,788,1.269622392974756,0.7690981378706886,8187.521405049396,4994
21,734,968.6830000000003,0.23900394769306688,0.14948373525259226,6200342,508.9469217384868,483.27212024627556,0.26478965013272676,634,1.3197316076294283,0.7622588647417595,8447.33242506812,4053
22,568,694.3040000000003,0.2483204577968527,0.16047733570609557,4309390,472.87772431779,357.32550369379055,0.26826055265782967,465,1.2223661971830992,0.7684419434275066,7586.954225352113,2796
23,309,181.104,0.267905325443787,0.185479252658905,1038127,445.8807194209958,154.34724807637087,0.2837178051440669,206,0.5860970873786409,0.7492584858076256,3359.63430420712,676
