,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,1194,339.2270000000002,0.1073503164556962,0.18043989361702129,0.1005276801300473,2752155,483.2477716311772,210.09460733254218,0.29491318092662605,632,0.28410971524288126,0.3324281761590857,2304.9874371859296
1,1194,724.5870000000004,0.20761805157593122,0.19245338645418325,0.09997640501096773,5609231,499.8549928456503,251.1133059464292,0.25473836633535885,698,0.6068567839195984,0.3597611833043398,4697.848408710218
2,1194,1162.6979999999965,0.27229461358313817,0.2010892424766517,0.10870072264355499,8674990,504.41118569853,353.17904891947626,0.2590949406867132,854,0.9737839195979869,0.4135586052921268,7265.485762144053
3,1163,1320.1859999999954,0.28983227222832053,0.20865908013276432,0.12182791047928011,9314138,499.8040644001102,418.6845608435556,0.28144085059640617,911,1.1351556319862386,0.4595878823749238,8008.717110920034
4,1110,1253.5630000000017,0.282334009009009,0.21082458795829132,0.11859386670986628,8808741,490.53837288739845,441.41983152310667,0.2844979633372447,888,1.1293360360360376,0.49709440486836337,7935.802702702703
5,1044,1216.8680000000015,0.28332200232828875,0.21311173380035026,0.12237464704995737,8507576,496.3053946576359,457.38093624827115,0.2992408125511479,859,1.1655823754789287,0.5324574345148675,8149.0191570881225
6,949,1035.6529999999996,0.27075895424836605,0.2152229842061513,0.1308795488403134,7099273,491.8282547491924,437.3109982410096,0.3111921104756788,765,1.0913097997892514,0.5716483637137381,7480.793466807166
7,844,965.6820000000016,0.2766997134670487,0.21710476618705035,0.12691753077321993,6562136,496.71915211617045,408.15536377486944,0.30791232868229673,698,1.1441729857819924,0.5847498048350566,7775.042654028436
8,747,837.8959999999994,0.2685564102564103,0.2161196801650761,0.12544815558260505,5746390,507.3346908658846,371.6305582623762,0.316381716469802,624,1.1216813922356084,0.5955617920871413,7692.623828647925
9,646,769.026000000001,0.2827301470588235,0.21890862510674639,0.13734742140643436,5192570,501.66255442224707,332.7128401832337,0.31435331157843555,544,1.1904427244582059,0.6116044856309443,8038.034055727554
10,549,643.703000000001,0.2756758029978587,0.2162253946926436,0.12447810264599854,4362885,477.96824132682747,285.5785293246182,0.31935595247466914,467,1.1725009107468143,0.6115171934146,7946.9672131147545
11,473,557.2069999999999,0.282846192893401,0.21808493150684932,0.12765142202864269,3685822,479.46890188796453,245.41917444375736,0.3148595749337953,394,1.178027484143763,0.6228913056948157,7792.435517970402
12,410,449.19300000000055,0.2665833827893175,0.2222627412172192,0.130772590033289,2961226,482.5929069377638,210.30305091075905,0.3289796794774213,337,1.0955926829268305,0.6240446614562584,7222.502439024391
13,339,358.4009999999994,0.24975679442508716,0.22150865265760195,0.14116588173990885,2376834,495.09110919429935,178.85770445816712,0.33197027775682353,287,1.0572300884955734,0.6231975765092931,7011.309734513275
14,285,285.87799999999993,0.24330042553191492,0.21510759969902185,0.11615574769476758,1899560,481.6459684263671,148.9107169587904,0.3291073384889412,235,1.0030807017543857,0.6336626253565549,6665.122807017544
15,239,274.299,0.2756773869346734,0.22483524590163934,0.1650785801071279,1763804,501.3759805715811,128.51976477093484,0.29749692235768865,199,1.147694560669456,0.6458279636730394,7379.933054393306
16,201,230.36400000000023,0.2726201183431953,0.22740769990128332,0.14506455185631062,1447402,463.44006489434554,112.99652657749674,0.31322212069025923,169,1.146089552238807,0.6686185004585605,7201.004975124378
17,168,177.4660000000002,0.24820419580419575,0.2158953771289538,0.12184295964729366,1175492,498.1468685244862,89.57813899833198,0.29878235751209775,143,1.0563452380952394,0.626420552435888,6996.976190476191
18,148,165.326,0.26452159999999997,0.2169632545931759,0.12409811635071692,1113450,517.1821198501455,86.63895895513164,0.3229908716594134,125,1.1170675675675674,0.6931116716410531,7523.310810810811
19,122,122.465,0.2691538461538461,0.22933520599250937,0.15741548471466785,771497,546.8576591678213,61.2517992279091,0.3033703341000693,91,1.0038114754098362,0.6730966948121879,6323.745901639344
20,95,98.887,0.25355641025641024,0.21174946466809422,0.12801915079707996,644149,468.80728860748417,54.46643342052878,0.2837373338687417,78,1.0409157894736842,0.6982876079554972,6780.515789473684
21,71,77.74900000000002,0.2728035087719298,0.23348048048048048,0.16344854479672047,451311,352.61634003010863,39.56828670991967,0.2894421902649008,57,1.0950563380281693,0.6941804685950819,6356.492957746479
22,48,47.154000000000025,0.2694514285714286,0.24687958115183245,0.1572475327196628,276713,365.65803067941147,25.25158261551244,0.2862273447369376,35,0.9823750000000006,0.7214737890146411,5764.854166666667
23,28,10.877,0.12796470588235295,0.21327450980392157,0.13644263010890043,66297,449.0715219582623,11.462621536488408,0.2923823851058011,17,0.38846428571428576,0.6742718550875534,2367.75
