,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,1465,454.63899999999967,0.11870469973890338,0.18951187994997917,0.10364460432858177,3503238,488.9543116150019,553.136733278961,0.30963304363855,766,0.3103337883959042,0.7221106178576514,2391.288737201365
1,1465,909.6719999999971,0.21840864345738292,0.19325940089228807,0.10323694827515635,6854668,481.39396328268623,599.559838305945,0.2549555578805542,833,0.620936518771329,0.7197597098510745,4678.954266211604
2,1465,1345.2820000000006,0.2624940487804878,0.2002205685369847,0.10793940790439342,9740341,497.40486891856074,738.7137755647844,0.2480974890516186,1025,0.9182812286689424,0.7206963664046677,6648.696928327645
3,1456,1616.3199999999927,0.289922869955157,0.20485678073510774,0.11462769854088302,11663249,511.1082083430329,830.1449358570393,0.2365538546361073,1115,1.1101098901098851,0.744524606149811,8010.473214285715
4,1435,1696.039000000002,0.2934323529411765,0.20905201528411188,0.12170869642449829,11918611,507.16498221291124,865.7627324293461,0.24042342748312936,1156,1.181908710801395,0.7489296993333444,8305.652264808363
5,1417,1730.8839999999955,0.2981712316968131,0.2075898296953706,0.12022278293354659,12111363,481.43041736806885,876.3287722947016,0.23852959463137857,1161,1.2215130557515848,0.7548051440953502,8547.18630910374
6,1382,1737.626000000002,0.30272229965156794,0.2118539380638869,0.12338598509929026,11919448,475.55126268040885,877.25207752204,0.23619267747499564,1148,1.2573270622286556,0.7641568619529966,8624.781476121563
7,1351,1679.7950000000037,0.29942869875222816,0.21233661989634686,0.1227219565616739,11665290,500.5574767943907,873.3597180365945,0.22399854387431445,1122,1.2433715766099214,0.7783954706208507,8634.559585492229
8,1316,1627.340999999994,0.2956114441416894,0.21241887482051952,0.12032367414306888,11292291,496.5590920058436,871.0748390394219,0.22403519344260187,1101,1.2365813069908769,0.7911669746043796,8580.768237082068
9,1266,1521.4720000000018,0.28843071090047395,0.2131510226954329,0.12029765036957382,10379544,501.80194779100094,831.7933923929859,0.2382339857202898,1055,1.201794628751976,0.7884297558227354,8198.691943127962
10,1197,1467.6719999999973,0.28891181102362207,0.2175618144085384,0.12748245824544316,9963306,511.8175873526132,814.6202134117109,0.23266418670673858,1016,1.2261253132832057,0.8017915486335737,8323.563909774437
11,1112,1409.4619999999984,0.2964168243953733,0.21581105496861125,0.12527139293018336,9537563,504.62711270391947,763.2391728591415,0.2299872394988901,951,1.2675017985611496,0.8025648505353749,8576.945143884892
12,1031,1263.681999999995,0.2888416,0.2173141874462597,0.13115466638327283,8434760,493.6998430078154,696.0519886415321,0.23660018985063624,875,1.2256857419980554,0.7954879870188939,8181.144519883608
13,953,1170.994999999996,0.2934824561403509,0.216690414507772,0.12270719653436539,7976479,496.34315698340464,643.3303626041246,0.22916884048538527,798,1.2287460650577082,0.806178399253289,8369.862539349422
14,867,1046.8730000000005,0.2848634013605442,0.21527308245938723,0.11984981463636973,7136300,492.56273123811684,595.3793454916129,0.2281257799361183,735,1.2074659746251448,0.810039925838929,8231.026528258362
15,787,950.9120000000003,0.286851282051282,0.21641147018661813,0.12263359139427217,6624008,519.2782954056164,539.1517057773813,0.226618984901581,663,1.2082744599745874,0.8132001595435615,8416.782719186785
16,716,850.9139999999993,0.2850633165829146,0.21482302448876547,0.12458455976657344,5979744,527.9011867226513,493.7440072034195,0.212956595953264,597,1.188427374301675,0.8270418881129306,8351.597765363129
17,638,802.8640000000014,0.2984624535315985,0.2206276449574059,0.12847517005610293,5480798,517.375303244019,440.4530869701123,0.22574158740000816,538,1.258407523510974,0.8186860352604317,8590.592476489028
18,547,660.8200000000006,0.28668980477223427,0.21701806239737273,0.1223241595195202,4681511,525.3476018769142,378.97712618760863,0.2164602152547349,461,1.2080804387568567,0.8220761956347259,8558.521023765996
19,482,603.4250000000011,0.2880310262529833,0.219347509996365,0.13005449991515136,4250256,529.6216527268475,340.3787529138238,0.23085469071174042,419,1.2519190871369317,0.8123597921570974,8817.958506224066
20,416,508.5750000000004,0.2779098360655738,0.2178984575835476,0.13023147761243092,3533533,523.5877926606403,301.62144209387316,0.21233198229544045,366,1.2225360576923086,0.8241023008029321,8494.069711538461
21,336,418.7769999999997,0.29285104895104896,0.22287227248536454,0.14413351489030432,2918119,504.6188078883205,235.39268580508784,0.22665301228326018,286,1.2463601190476181,0.8230513489688386,8684.877976190477
22,263,312.4799999999998,0.27899999999999997,0.23061254612546128,0.14128540528537892,2106201,483.268900501987,187.29625666023958,0.20333596185700495,224,1.1881368821292768,0.8361440029474981,8008.3688212927755
23,148,74.90900000000003,0.15287551020408163,0.24560327868852455,0.1711869938824095,482668,476.36423642040165,81.79983812451091,0.2134237562058744,98,0.5061418918918921,0.8346922257603154,3261.2702702702704
