,Kx,FOx_STD,RMx_STD,RMk
0,690,0.10092178975030752,0.10144185000805082,300
1,690,0.09964408557200766,0.12291288480547584,358
2,690,0.103372201311434,0.113974061954666,427
3,689,0.11613003202069955,0.11110560299386818,471
4,685,0.13056410141771352,0.10333343113149658,466
5,682,0.13347015406457685,0.09821001570825902,452
6,669,0.12041128315231232,0.09886990729669441,441
7,658,0.1150419373973645,0.09837289260787274,446
8,643,0.12140483325783111,0.10135620842463441,445
9,614,0.11601293291503603,0.09495231561775826,403
10,577,0.12668387918988003,0.09296683777080683,413
11,530,0.12164709697179096,0.10375973772978263,374
12,483,0.12585759833559532,0.1003283057048136,320
13,442,0.12276180824050748,0.09394947929950277,304
14,397,0.11790921242441867,0.08780924283152859,266
15,356,0.12042206168307369,0.09303521910161215,246
16,322,0.12309250748874426,0.09010510485505363,219
17,277,0.13264514992211832,0.09696362656815884,198
18,225,0.12527512207896208,0.09006452441458108,150
19,197,0.12736767516772646,0.0883684605476362,135
20,167,0.13426572533417566,0.0980049377451052,112
21,125,0.14991970314184572,0.0825960819727064,95
22,94,0.16716409211995364,0.09326737372708266,65
23,46,0.2000164015046433,0.12331012202015085,20
