,Kx,FOx,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,487,160.00499999999974,0.09545278688996406,1233426,517.1120149600978,189.0778036960148,0.31036319992424805,267,0.3285523613963034,0.7081565681498682,2532.7022587268993
1,487,309.5229999999995,0.09413552568747419,2301074,460.8378425489865,194.96173164238746,0.2493345541659693,277,0.6355708418891161,0.7038329662180053,4724.997946611909
2,487,421.63800000000015,0.10272492438701115,2878526,444.6484916197013,228.79320079809705,0.26449537597069145,329,0.865786447638604,0.6954200632161004,5910.731006160165
3,486,505.8029999999998,0.11778122174113448,3467705,457.16261570798855,265.2168206459075,0.252517930647451,364,1.0407469135802465,0.7286176391371085,7135.1954732510285
4,484,595.8410000000005,0.12686109379144264,4039083,468.3795588583763,288.39692796075536,0.24128969622854957,395,1.2310764462809927,0.7301188049639377,8345.212809917355
5,481,576.5239999999993,0.11476986325986654,3967503,458.2904863905144,281.7331277663461,0.24634241504925536,385,1.1985945945945933,0.7317743578346653,8248.446985446986
6,472,596.8290000000005,0.11239772723925137,4027614,448.93634142067884,287.65763393219237,0.26021011782915837,393,1.264468220338984,0.731953267003034,8533.080508474577
7,467,594.0510000000011,0.12252259639927297,3985770,460.24769988699524,293.44223650064527,0.2402271250477357,391,1.2720578158458267,0.7504916534543357,8534.839400428265
8,460,576.0279999999998,0.11540378949195812,3961215,439.22984755555973,295.0536705478426,0.23911595301992494,387,1.2522347826086953,0.7624125853949422,8611.33695652174
9,439,547.5839999999989,0.1183414705814393,3631423,434.3431691965194,280.4238429292187,0.25375699871171786,368,1.2473439635535284,0.7620213123076596,8272.03416856492
10,416,530.0250000000002,0.1276064497347092,3426479,428.0904923687611,280.2703949606883,0.23521690739465245,353,1.2740985576923083,0.7939671245345278,8236.728365384615
11,393,521.3070000000005,0.12119645004804269,3416813,416.8979152700696,276.1448460510392,0.23049544691105212,348,1.3264809160305355,0.7935196725604575,8694.180661577608
12,366,483.2090000000004,0.13366755879405742,3074241,427.1264732996294,245.11896528922566,0.25168765256828457,315,1.3202431693989083,0.7781554453626212,8399.565573770491
13,339,480.7390000000011,0.13608075145570672,3038852,401.36025643943475,236.40622314196614,0.22971697669243457,291,1.418109144542776,0.8123925193881998,8964.165191740412
14,309,406.3130000000008,0.12318406045620886,2582451,386.06033429798805,212.30701675746576,0.2508007564225851,268,1.3149288025889994,0.79219036103532,8357.446601941747
15,281,375.04599999999937,0.12131274909926962,2500287,421.21894277417954,192.56776871539242,0.23998192616772807,245,1.3346832740213501,0.7859908927158874,8897.818505338078
16,262,330.3450000000003,0.12597529287879933,2206644,425.99816933174907,176.75905890245818,0.21931734492440577,216,1.2608587786259553,0.8183289764002694,8422.30534351145
17,231,310.44599999999974,0.12972249997118687,1993450,379.703940278879,154.67636619172995,0.23271700256112093,192,1.3439220779220769,0.8056060739152602,8629.65367965368
18,197,247.68899999999994,0.12916966017796558,1721253,396.3823606230009,132.60559962491462,0.25403341214158903,170,1.2573045685279185,0.780032938970086,8737.324873096446
19,173,212.928,0.12670404483478453,1402630,387.6552083919375,120.25277722178741,0.26816323282661747,153,1.2307976878612716,0.785965864194689,8107.687861271676
20,149,183.81800000000015,0.12863839625562445,1240073,389.6630217326265,110.2609537503466,0.23347605483311099,137,1.2336778523489944,0.8048244799295372,8322.637583892618
21,125,166.71299999999988,0.13506936074095086,1127085,391.437279647575,89.18742427892724,0.2460885547574674,108,1.3337039999999991,0.8258094840641411,9016.68
22,95,125.64000000000013,0.1712658584033679,761711,336.77655196996807,67.62459344028456,0.21429519451972281,81,1.322526315789475,0.8348715239541303,8018.010526315789
23,54,33.84,0.21684796461364195,169537,326.456965204666,31.854064390120268,0.21324260556657915,38,0.6266666666666667,0.838264852371586,3139.574074074074
