,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_mean,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,501,179.62800000000004,0.12561398601398602,0.18236345177664975,0.11073601427322897,1459582,1481.8091370558375,506.94989201395526,152.90992418031468,0.2963298889090953,286,0.3585389221556887,0.5346500845465548,2913.3373253493014
1,501,368.51500000000016,0.24486046511627907,0.1897605561277034,0.09983229412807795,2856183,1470.7430484037075,503.6531195891282,165.25980846722794,0.24539522470058175,301,0.7355588822355292,0.5490359085289965,5700.964071856288
2,501,513.9259999999996,0.27779783783783785,0.19563228016749146,0.09889071223510001,3869561,1472.996193376475,477.11179507809214,233.05129764249958,0.23644730770775976,370,1.025800399201596,0.6298683720067556,7723.674650698603
3,499,626.9819999999999,0.30143365384615384,0.20809226684367738,0.11459646852041573,4360971,1447.3849983405244,476.6410941430977,265.0984415048572,0.25082986705269567,416,1.2564769539078153,0.6372558690020605,8739.420841683366
4,498,663.7120000000014,0.31605333333333335,0.20728044971892567,0.11745481164393046,4576436,1429.2429731417865,459.2883950020294,290.9738247169909,0.22703459157450484,420,1.332755020080324,0.6927948207547403,9189.630522088353
5,491,685.6550000000009,0.3320363196125908,0.21247443445925007,0.11753952666545693,4627489,1433.9910133250696,442.4601585026846,289.4957185969454,0.24455577807278364,413,1.39644602851324,0.7009581564090687,9424.62118126273
6,478,598.1279999999995,0.2968377171215881,0.2103122362869198,0.11217155012563089,4053584,1425.310829817159,453.0244042423261,293.81259360726887,0.24477394797212712,403,1.2513138075313797,0.7290635077103446,8480.301255230126
7,468,605.8800000000012,0.3021845386533666,0.21623126338329768,0.11984253310646087,4054879,1447.1374018558172,474.71144475532344,299.73596581662827,0.246200044090556,401,1.2946153846153874,0.7474712364504446,8664.271367521367
8,440,540.8610000000009,0.29078548387096775,0.2140328452710724,0.12030507368103922,3670501,1452.5132568262761,473.8083176205513,281.11923969401875,0.2322593476681872,372,1.2292295454545474,0.7556968808978999,8342.047727272728
9,401,518.4629999999996,0.3014319767441861,0.2195946632782719,0.12476737709611778,3304704,1399.705209656925,445.5509506790014,267.325872170948,0.24123338915392084,344,1.292925187032418,0.7771100935201977,8241.15710723192
10,375,467.04200000000026,0.28919009287925695,0.2182439252336449,0.12452013062307207,2988718,1396.5971962616823,452.2481396371058,249.7347827260161,0.25621624096665735,323,1.245445333333334,0.7731727019381304,7969.914666666667
11,334,411.3489999999998,0.28765664335664337,0.22465811032222832,0.1240625051169526,2623117,1432.614418350628,463.4049944133881,220.9905031315829,0.24513361865799174,286,1.2315838323353288,0.7726940668936465,7853.643712574851
12,293,353.368,0.2793422924901186,0.21921091811414392,0.12386870772815835,2417511,1499.6966501240695,481.6040329766239,197.73646255136615,0.2505043976761095,253,1.2060341296928327,0.7815670456575737,8250.890784982936
13,260,328.5319999999995,0.294647533632287,0.22093611297915264,0.126506132528847,2226273,1497.1573638197713,500.8607716322953,176.3023201405309,0.23996527716723987,223,1.2635846153846135,0.7905933638588829,8562.588461538462
14,233,284.8290000000004,0.2820089108910891,0.22011514683153013,0.12584339229444957,1895070,1464.5054095826893,485.1093452656734,162.15452949031896,0.2297799306606638,202,1.2224420600858386,0.8027451954966285,8133.347639484979
15,196,249.99199999999965,0.28900809248554915,0.21948375768217737,0.12231369323103139,1648410,1447.243195785777,440.662112205311,139.5150046248392,0.21993194877325098,173,1.2754693877551002,0.8064451134383769,8410.255102040815
16,179,198.36800000000008,0.2793915492957746,0.2085888538380652,0.1037468114460719,1387093,1458.5625657202945,432.2318695941928,116.29224301008567,0.20380951735290506,142,1.1082011173184363,0.8189594578175047,7749.122905027933
17,150,178.14600000000013,0.28277142857142856,0.21966214549938348,0.12348945964528962,1163602,1434.774352651048,437.077991932202,104.51862241418682,0.2075659524692335,126,1.187640000000001,0.82951287630307,7757.346666666666
18,132,165.62099999999992,0.2855534482758621,0.2226088709677419,0.13646538013382503,1096389,1473.641129032258,444.4418197670704,94.619588908251,0.22890190370547336,116,1.254704545454545,0.8156861112780259,8305.977272727272
19,112,152.71899999999997,0.2936903846153846,0.22360029282576865,0.13083323396493687,1013614,1484.0614934114203,429.6681742880345,84.99490595813246,0.21536759630775984,104,1.3635624999999998,0.8172587111358891,9050.125
20,104,120.69200000000012,0.26525714285714286,0.22815122873345936,0.13129534882566832,814694,1540.0642722117202,442.3952201829575,77.08755981116208,0.20610190989166022,91,1.1605000000000012,0.847116041880902,7833.596153846154
21,84,95.39900000000004,0.2649972222222222,0.22552955082742318,0.13706859579849706,677364,1601.3333333333333,481.2727462310487,61.11513121404759,0.2022563738479552,72,1.1357023809523814,0.8488212668617721,8063.857142857143
22,69,68.66999999999997,0.24970909090909088,0.2384375,0.17425353570261096,445532,1546.986111111111,383.4447933266548,47.208154031488455,0.2434851923268584,55,0.9952173913043474,0.85833007329979,6456.985507246377
23,36,23.084999999999997,0.15920689655172413,0.2455851063829787,0.15688045384768862,155886,1658.3617021276596,412.2911296093448,25.523010368984412,0.1789676996544318,29,0.6412499999999999,0.8801038058270487,4330.166666666667
