,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,4415,1350.550999999998,0.11627645286267756,0.1876286468463462,0.11098575612384345,10411752,493.2448052660665,1245.0718865755803,0.3458394761118575,2323,0.3059005662514152,0.5359758444148,2358.2677236693094
1,4415,2734.3459999999986,0.21623930407275607,0.19387024957458876,0.10243011346754714,20551422,497.5102113080731,1356.8729949990814,0.29934847835100964,2529,0.6193309173272931,0.5365255021744094,4654.908720271801
2,4415,4139.874000000003,0.26717483059051306,0.20117960929147632,0.11416553794228967,30147010,500.0920750677594,1764.2177035146437,0.28536579585049043,3099,0.9376838052095138,0.5692861256904304,6828.31483578709
3,4361,4930.50600000002,0.2914010638297872,0.20756529426622883,0.11808744247197138,34773166,505.7593327125132,2020.3954116307764,0.28435889813701554,3384,1.1305906902086724,0.5970435613566124,7973.66796606283
4,4263,5059.820000000007,0.2948613053613054,0.20939496772057606,0.12090068828962718,35299445,501.10805152869,2137.7908896636136,0.28066679561384655,3432,1.1869153178512801,0.6228994433751788,8280.423410743608
5,4143,5082.311000000003,0.30010693829347507,0.21126999501163948,0.12421179383711556,35012011,485.1197676116542,2177.5414837579056,0.28428515968481444,3387,1.2267224233647123,0.6429115688685874,8450.883659184166
6,3962,4751.002999999997,0.2915620128873888,0.21325985276954842,0.12853453890510708,32217137,484.6396149907251,2170.752653342432,0.2845503762861606,3259,1.1991426047450775,0.6660793658614397,8131.533821302372
7,3783,4616.6130000000085,0.2944268494897959,0.21503623829707952,0.12947074999375516,31524191,506.04230714649674,2126.4195616920133,0.28272076933617313,3136,1.220357652656624,0.678067462274239,8333.119481892678
8,3571,4311.151000000014,0.2902154830023561,0.21536372264961534,0.12764863368033752,29347866,499.1184904438504,2059.0729486484606,0.2812544808445345,2971,1.207267152058251,0.693057202507055,8218.388686642396
9,3318,4026.976000000012,0.29212738483859263,0.21636449602407049,0.12863119561870556,27085376,499.7641581941184,1944.6509959604275,0.28032599255689106,2757,1.2136757082579903,0.7053503793835428,8163.163351416516
10,3062,3698.0909999999903,0.28689612102404966,0.21725361297144874,0.12740727854151643,24908002,501.497985707418,1840.1207392089134,0.28534886259678555,2578,1.2077370999346801,0.7137784093129997,8134.553233180927
11,2784,3434.885999999975,0.2901086148648649,0.21861545315682282,0.12895019498100754,22855533,498.5111728085779,1698.0674521941146,0.2803191328061924,2368,1.2337952586206806,0.7170892956900822,8209.602370689656
12,2515,3012.73100000001,0.28381827602449367,0.21891665455602385,0.1294192547935556,20166479,496.26096881900133,1527.229199654841,0.2838002230638075,2123,1.1979049701789306,0.7193731510385497,8018.480715705766
13,2273,2710.0319999999997,0.2831799373040752,0.21922277948552013,0.12891364015921122,18265250,504.523250597068,1398.8981674298675,0.2807585005114271,1914,1.1922710074791023,0.7308767854910488,8035.745710514739
14,2032,2398.34400000001,0.2788772093023256,0.21732004349401957,0.12385057890061589,16128380,502.4368055616512,1268.485598715762,0.27745357139234283,1720,1.1802874015748082,0.7374916271603268,7937.194881889764
15,1800,2197.1049999999973,0.2872032679738562,0.21946908400759166,0.13151612744144772,14798639,508.42744984093383,1124.7864485074967,0.2764237283257492,1530,1.2206138888888873,0.7351545415081678,8221.46611111111
16,1606,1930.0499999999931,0.286996282527881,0.21732349960590025,0.1279420874795919,13277788,518.8675009051461,1008.1997236013892,0.2727326826141149,1345,1.2017745952677417,0.7495908725660887,8267.61394769614
17,1414,1711.7520000000056,0.2843441860465116,0.21962432640492685,0.12947567622873246,11591761,512.4469921082615,892.1454368365212,0.2783929815584912,1204,1.2105742574257465,0.7409845820901338,8197.850777934937
18,1224,1465.0080000000019,0.28173230769230767,0.21905023923444977,0.12658770689062954,10029515,514.5780646121437,782.1414502524644,0.2747521984251005,1040,1.1969019607843152,0.7520590867812158,8194.04820261438
19,1060,1297.6910000000028,0.28583502202643174,0.22054571719918423,0.13137810617242765,8909188,517.7185289104908,683.8236529213823,0.26627652338260943,908,1.2242367924528328,0.7531097499134166,8404.894339622642
20,911,1081.9950000000013,0.27461802030456856,0.2166589907889467,0.12672453346183626,7458832,508.31930484758414,605.9640105449706,0.2574762429637123,788,1.1877003293084536,0.7689898610976784,8187.521405049396
21,734,914.3599999999986,0.28844164037854886,0.22560078953861337,0.14120935497957007,6200342,508.9469217384868,483.4555576347112,0.26616015343529703,634,1.2457220708446848,0.7625481981620051,8447.33242506812
22,568,658.3830000000014,0.28317548387096775,0.23547317596566522,0.14878241521538701,4309390,472.87772431779,357.71099076776034,0.2688407124980794,465,1.1591250000000024,0.7692709478876566,7586.954225352113
23,309,162.11400000000012,0.15739223300970875,0.23981360946745564,0.16241495960878485,1038127,445.8807194209958,154.3823762190217,0.28429405992913115,206,0.5246407766990295,0.74942901077195,3359.63430420712
