,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,756,206.36499999999987,0.1130767123287671,0.19710124164278892,0.11372240901306281,1462167,543.8651414411275,214.21543090318488,0.3528829056489116,365,0.27296957671957656,0.586891591515575,1934.0833333333333
1,756,404.73100000000056,0.20702352941176472,0.20981389320891652,0.11585388401114398,2630125,524.265811134451,219.92658127131526,0.32544944908580625,391,0.5353584656084663,0.5624720748626989,3479.0013227513227
2,756,637.9409999999989,0.2593256097560976,0.21393058350100605,0.12385956034041633,4171616,531.4107523991663,289.2012601293107,0.294679408805035,492,0.8438373015873001,0.5878074392872169,5518.010582010582
3,741,778.1249999999991,0.29252819548872183,0.21632610508757297,0.12458984081559116,5068847,550.6814727529977,311.7965522113657,0.28769920220538875,532,1.0501012145748976,0.5860837447582061,6840.549257759784
4,721,790.5309999999995,0.29063639705882355,0.21711919802252128,0.12923538504667406,4990923,557.6139665926855,333.54071336453006,0.29211767326785526,544,1.0964368932038828,0.6131263113318567,6922.223300970873
5,694,777.6060000000007,0.2885365491651206,0.21427555800496004,0.11857458320993602,4999576,533.1036890093569,331.5735019841568,0.2945438207700129,539,1.1204697406340067,0.6151641966310887,7204.0
6,664,786.9769999999987,0.3009472275334608,0.22224710533747533,0.14140497339834815,4852873,532.2059674067681,332.36069383721,0.28804205324035415,523,1.1852063253012028,0.635488898350306,7308.543674698795
7,636,751.6470000000014,0.3000586826347305,0.2219211691762622,0.15729448418209027,4729405,569.1227847906623,313.08976765798604,0.2967715216440858,501,1.1818349056603796,0.624929675964044,7436.171383647798
8,605,708.1389999999997,0.2926194214876033,0.2212934375,0.13517717478159394,4534282,552.9466293325554,313.5362522155343,0.29264193957603796,484,1.1704776859504127,0.6478021739990378,7494.680991735537
9,575,638.4870000000004,0.2831427937915743,0.21798805052919087,0.13803166442156256,4072438,567.1752157525417,294.86974154012495,0.29191617891296406,451,1.1104121739130441,0.6538131741466185,7082.500869565218
10,537,640.5340000000002,0.29449839080459767,0.21996359890109893,0.13570395691435364,4052414,563.836639622548,276.6260889423666,0.304480456271875,435,1.1928007448789575,0.6359220435456704,7546.3947858473
11,494,601.9890000000005,0.30024389027431425,0.22387095574563035,0.13593491297631077,3727683,536.511071576064,264.84340569935426,0.29026022214638314,401,1.2186012145748997,0.6604573708213324,7545.917004048583
12,450,498.7109999999999,0.27401703296703295,0.21979330101366237,0.12257114403304914,3207290,547.2343606325478,247.17443862697115,0.2875020083071941,364,1.1082466666666664,0.6790506555686021,7127.311111111111
13,410,453.19700000000006,0.27633963414634144,0.22182917278511993,0.1313842216408921,2852481,541.5707908168735,221.59780239430802,0.2925651496701733,328,1.105358536585366,0.6756030560802073,6957.270731707317
14,358,407.3420000000001,0.2790013698630137,0.2210211611502984,0.13001579305278418,2543450,528.373917770606,196.3045921416604,0.29384105293100393,292,1.1378268156424585,0.6722760004851384,7104.608938547486
15,316,366.93700000000047,0.28225923076923076,0.21622687094873305,0.1197874557862825,2383716,542.196047611721,174.54072006354141,0.3011265716978235,260,1.161193037974685,0.6713104617828516,7543.405063291139
16,280,338.91200000000003,0.2836083682008368,0.21893540051679589,0.13296840938392182,2200152,563.5601400280184,162.83453900070324,0.2954093313266926,239,1.2104000000000001,0.6813160627644487,7857.685714285714
17,250,292.19899999999933,0.27565943396226417,0.21953343350864013,0.1264493117673557,1836670,561.579426460059,146.28483722011038,0.29894309053397694,212,1.1687959999999973,0.6900228170759923,7346.68
18,211,231.2780000000001,0.26431771428571427,0.21901325757575757,0.12436543405574174,1476567,574.3203784056585,122.24222345416402,0.2919064489914245,175,1.0961042654028441,0.6985269911666515,6997.947867298578
19,174,211.70100000000016,0.2960853146853147,0.22075182481751826,0.13513127643524397,1383875,570.5245162694673,102.55558798207905,0.2594685542305318,143,1.2166724137931044,0.7171719439306227,7953.30459770115
20,151,169.58300000000023,0.28263833333333327,0.2075679314565484,0.11764825527981505,1106303,528.6850806599793,84.26256066686516,0.27497224876107756,120,1.1230662251655643,0.7021880055572096,7326.509933774834
21,111,127.12500000000007,0.2763586956521739,0.220703125,0.1518908384195371,834790,592.9859706505767,61.51774650687974,0.2661090360338159,92,1.1452702702702708,0.6686711576834754,7520.630630630631
22,89,100.42000000000007,0.2869142857142857,0.2292694063926941,0.12681351326346485,653239,511.05246002956954,47.64491750750823,0.28942092867806235,70,1.128314606741574,0.6806416786786891,7339.76404494382
23,44,28.315999999999995,0.176975,0.26218518518518513,0.16433621521859726,154342,316.71837405437793,16.576893509323945,0.34484662099482705,32,0.6435454545454544,0.5180279221663733,3507.7727272727275
