,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_mean,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,487,156.57899999999984,0.1172876404494382,0.1857402135231317,0.0972136980689648,1233426,1463.1387900355871,517.1120149600977,189.48946724282547,0.30960586115492666,267,0.3215174537987676,0.7096983791866123,2532.7022587268993
1,487,294.48100000000017,0.21262166064981947,0.18359164588528679,0.0919634452751044,2301074,1434.5847880299252,460.8378425489865,194.51642017077452,0.2503846085381173,277,0.6046837782340866,0.7022253435768033,4724.997946611909
2,487,398.3340000000007,0.24214832826747718,0.19243188405797101,0.09934693004807393,2878526,1390.592270531401,444.64849161970136,228.83559927058366,0.2665667746280204,329,0.8179342915811102,0.6955489339531418,5910.731006160165
3,486,478.3740000000003,0.26284285714285716,0.1983308457711443,0.11174693407014519,3467705,1437.68864013267,457.1626157079885,265.6311236363512,0.25320559857316416,364,0.9843086419753093,0.7297558341658,7135.1954732510285
4,484,568.3669999999988,0.2877807594936709,0.20481693693693692,0.11870982564274601,4039083,1455.5254054054053,468.3795588583763,287.15095515340914,0.24659854770443418,395,1.174311983471072,0.7269644434263522,8345.212809917355
5,481,547.6899999999999,0.2845142857142857,0.19815123010130248,0.11273995921133333,3967503,1435.4207670043415,458.2904863905144,281.4813762658147,0.24826169847619367,385,1.1386486486486485,0.7311204578332848,8248.446985446986
6,472,566.0829999999999,0.28808295165394404,0.20275179083094558,0.10888648269767663,4027614,1442.555157593123,448.93634142067884,287.491305355376,0.2637848343173669,393,1.1993283898305083,0.7315300390722036,8533.080508474577
7,467,557.744000000001,0.28529104859335036,0.20527935222672067,0.11744136897189113,3985770,1466.9746043430255,460.2476998869953,293.5932867034254,0.24076246818460786,391,1.1943126338329786,0.7508779711085048,8534.839400428265
8,460,551.2109999999996,0.2848635658914729,0.204835005574136,0.1146233272535663,3961215,1472.0234113712374,439.2298475555598,295.37220563233353,0.2398714123669185,387,1.1982847826086946,0.7632356734685621,8611.33695652174
9,439,522.047,0.2837211956521739,0.20782125796178344,0.11567728546668021,3631423,1445.6301751592357,434.34316919651945,280.2844779590415,0.2547268684283504,368,1.1891731207289293,0.7616426031495693,8272.03416856492
10,416,499.2800000000003,0.2828781869688385,0.21155932203389832,0.1252832987890747,3426479,1451.8978813559322,428.0904923687611,280.25829163611706,0.23512968261584316,353,1.2001923076923084,0.7939328374960823,8236.728365384615
11,393,495.5800000000008,0.284816091954023,0.20831441782261453,0.1170163775941195,3416813,1436.239176124422,416.8979152700696,276.02860337989114,0.23141233397051955,348,1.2610178117048365,0.7931856418962389,8694.180661577608
12,366,457.805999999999,0.2906704761904762,0.21412815715622077,0.13017139324999594,3074241,1437.9050514499531,427.12647329962937,244.98077721172814,0.25317085061533723,315,1.2508360655737678,0.7777167530531052,8399.565573770491
13,339,449.7100000000004,0.3090790378006873,0.21455629770992365,0.12489779286532218,3038852,1449.8339694656488,401.36025643943475,236.58366820729282,0.22921883359295295,291,1.3265781710914466,0.8130022962449925,8964.165191740412
14,309,382.78499999999985,0.285660447761194,0.21160033167495854,0.11693282608086406,2582451,1427.5572139303483,386.06033429798805,212.3563826072578,0.25109434539605835,268,1.23878640776699,0.7923745619673799,8357.446601941747
15,281,360.0179999999999,0.29389224489795923,0.21078337236533956,0.12077267303724622,2500287,1463.8682669789227,421.21894277417954,192.35061603001938,0.24274467523753746,245,1.2812028469750887,0.7851045552245689,8897.818505338078
16,262,311.5639999999998,0.2884851851851852,0.20812558450233798,0.12213058046251396,2206644,1474.0440881763527,425.99816933174907,176.39543394989133,0.22735972867774848,216,1.1891755725190831,0.8166455275457932,8422.30534351145
17,231,292.19199999999967,0.3043666666666667,0.21327883211678833,0.12101635132967362,1993450,1455.0729927007299,379.703940278879,154.46148044181098,0.23418310600452538,192,1.2649004329004314,0.8044868773010988,8629.65367965368
18,197,235.11000000000004,0.2766,0.2056955380577428,0.11866283298845927,1721253,1505.9081364829397,396.3823606230009,132.66626176249608,0.2541327667184124,170,1.1934517766497463,0.7803897750735064,8737.324873096446
19,173,199.72699999999972,0.261081045751634,0.21112790697674422,0.1251225679137361,1402630,1482.6955602536998,387.65520839193744,120.13072073090565,0.27055817876205535,153,1.1544913294797672,0.7851681093523245,8107.687861271676
20,149,171.61100000000005,0.2505270072992701,0.20601560624249698,0.11912024853057775,1240073,1488.6830732292917,389.66302173262653,110.55109099393499,0.22887113278378562,137,1.1517516778523493,0.8069422700287225,8322.637583892618
21,125,155.0930000000002,0.2872092592592593,0.20902021563342316,0.12091232648679563,1127085,1518.9824797843667,391.437279647575,89.09075081983686,0.24612590449772664,108,1.2407440000000014,0.8249143594429339,9016.68
22,95,116.49199999999993,0.2876345679012346,0.22707992202729047,0.14696187543966108,761711,1484.8167641325535,336.77655196996807,67.68521331087624,0.21562140054242498,81,1.2262315789473677,0.8356199174182252,8018.010526315789
23,54,29.499,0.15525789473684207,0.24789075630252103,0.1942225955887809,169537,1424.6806722689075,326.45696520466595,31.696337564590188,0.22259071372407788,38,0.5462777777777778,0.8341141464365839,3139.574074074074
