,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,737,270.2020000000001,0.12451705069124422,0.18532373113854594,0.10889904588211372,2136684,500.6635873237972,241.500645135709,0.30419741445342247,434,0.3666241519674357,0.5564530993910346,2899.1641791044776
1,737,525.6469999999997,0.23571614349775785,0.1901761939218524,0.0995732122596038,4076119,518.698099706813,248.5811193291205,0.2477083733217522,446,0.7132252374491177,0.5573567697962343,5530.690637720489
2,737,731.9500000000002,0.2746529080675422,0.19750404749055586,0.10253956160603166,5458905,494.0468712964567,323.17538006335275,0.24480651026519026,533,0.9931478968792404,0.6063327956160465,7406.926729986431
3,734,883.3939999999982,0.2944646666666667,0.20698078725398314,0.11439410742937324,6218271,493.9246560709013,375.96972432762595,0.2518736632990245,600,1.2035340599455016,0.6266162072127099,8471.758855585831
4,728,938.7449999999988,0.31135820895522387,0.20636293690921081,0.11513729061176527,6599149,484.1581648160407,404.598462867464,0.23453593516867277,603,1.2894848901098883,0.6709758919858441,9064.76510989011
5,716,963.6379999999995,0.32282680067001673,0.21155609220636667,0.1144791348682575,6529298,450.2789748036623,407.71399519128113,0.24656291776984374,597,1.3458631284916194,0.6829380153957808,9119.1312849162
6,698,853.4210000000007,0.29428310344827585,0.20978883972468043,0.11218351485947055,5807585,467.3826128926328,407.3132588608219,0.25846527404351444,580,1.222666189111749,0.7022642394152102,8320.3223495702
7,683,860.8249999999987,0.29941739130434786,0.21520625000000002,0.1216270476125171,5839075,493.5161276730858,414.5584012223882,0.24972842025753672,575,1.260358711566616,0.7209711325606751,8549.15812591508
8,647,805.3789999999987,0.2944712979890311,0.21385528412108337,0.12079033872511136,5494098,488.33909571553176,397.9157509785203,0.24238201118187075,547,1.2447897990726409,0.7274510986810243,8491.650695517774
9,599,764.9920000000001,0.3059968,0.220268355888281,0.12467877053741588,4966730,469.4107702942667,372.54694256440314,0.24767494208992724,500,1.2771151919866446,0.7450938851288063,8291.702838063438
10,562,654.5180000000006,0.2767517970401691,0.2146664480157429,0.12102496805194818,4318830,455.35388341775445,351.637829505012,0.2654416566516262,473,1.1646227758007128,0.7434203583615476,7684.750889679715
11,508,620.6209999999991,0.28210045454545457,0.22078299537531126,0.12465083446417177,4046940,468.31784012157374,324.1048490432074,0.25547086471704933,440,1.221694881889762,0.7366019296436532,7966.417322834645
12,456,550.772000000001,0.2802910941475827,0.2199568690095847,0.12308884577578161,3690558,483.6006460029356,293.58125743527575,0.2571279738211173,393,1.2078333333333355,0.7470261003442131,8093.328947368421
13,415,522.0119999999996,0.2916268156424581,0.22035120303925704,0.1282714443829933,3524776,511.5790587936616,270.2219323981415,0.25209484236674756,358,1.2578602409638544,0.7548098670339148,8493.436144578312
14,379,470.9640000000009,0.2795038575667656,0.22131766917293233,0.12431784402062186,3118618,501.6878904322641,256.09325339177093,0.24048566634037913,337,1.2426490765171527,0.7599206332100028,8228.543535620052
15,331,427.8459999999995,0.29304520547945206,0.2221422637590862,0.1274125135470409,2780181,463.0304325464736,218.80813453593444,0.2525362425993281,292,1.2925861027190317,0.7493429264929262,8399.33836858006
16,303,348.6750000000007,0.27894,0.21273642464917633,0.11283725703155043,2380270,461.70512473921127,189.81072453937156,0.23591865279109975,250,1.150742574257428,0.7592428981574862,7855.676567656766
17,263,315.452,0.2816535714285714,0.2181549100968188,0.12607045193899,2090605,472.8013789342092,170.49548172409206,0.2523930489195713,224,1.1994372623574145,0.7611405434111252,7949.068441064639
18,234,306.5490000000001,0.29056777251184834,0.2235951859956236,0.13357564322907434,2000789,462.03802772073345,160.68462552977167,0.24851215372797947,211,1.310038461538462,0.7615385096197709,8550.380341880342
19,207,274.8060000000001,0.2908,0.22469828291087493,0.12545830835475344,1818614,468.47799253151425,146.26561653658936,0.23026992999108142,189,1.3275652173913048,0.7738921509872453,8785.574879227053
20,184,220.77899999999997,0.2725666666666667,0.22551481103166496,0.12516573093074648,1480703,468.68877526942464,128.465602701564,0.22636421703251183,162,1.1998858695652173,0.7929975475405184,8047.298913043478
21,150,182.25500000000008,0.27202238805970147,0.23070253164556961,0.14418676836244704,1213194,508.910349217914,109.45642536181164,0.21448701883168772,134,1.2150333333333339,0.8168389952374003,8087.96
22,118,135.35300000000015,0.27344040404040404,0.23787873462214412,0.15799104907066103,888002,400.21524897017696,81.89670360767484,0.23000694456850937,99,1.1470593220338996,0.8272394303805539,7525.440677966101
23,70,40.51400000000001,0.15582307692307693,0.23972781065088758,0.1566396663829308,276480,403.81371228908876,43.41272065075004,0.20109633655542192,52,0.5787714285714287,0.8348600125144239,3949.714285714286
