,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,360,132.07700000000014,0.1294872549019608,0.18734326241134752,0.11670281667185203,1023467,434.6736057040961,110.17228722671366,0.2865156354578373,204,0.36688055555555593,0.5400602315034984,2842.963888888889
1,360,279.85400000000027,0.2498696428571429,0.18807392473118278,0.0970343161651008,2212659,489.6047073764534,123.15093262339998,0.24148548576043788,224,0.777372222222223,0.549780949211607,6146.275
2,360,385.688999999999,0.28675762081784384,0.19449773071104384,0.10089006749180696,2959752,463.3546383649557,171.9861739796277,0.2335014655497816,269,1.0713583333333305,0.6393538066157163,8221.533333333333
3,358,457.2570000000002,0.30382524916943526,0.20841248860528716,0.11597009032291128,3220992,478.75673545650284,191.47934208849318,0.2578581588897628,301,1.2772541899441345,0.636143993649479,8997.184357541899
4,357,496.5410000000001,0.3213857605177993,0.20663379109446525,0.11475690301639337,3447842,445.77671874594665,217.84187749871163,0.22185252463686808,309,1.390871148459384,0.704989894817837,9657.820728291317
5,352,511.86000000000024,0.3378613861386139,0.21292013311148086,0.11835610460872731,3480361,429.30743639991016,217.5666023532579,0.23981302392211448,303,1.454147727272728,0.7180415919249435,9887.389204545454
6,342,457.5969999999998,0.3102352542372881,0.2107770612620912,0.112207357436773,3131092,450.065785760724,222.5585228465026,0.22505631732684966,295,1.3380029239766076,0.7544356706661105,9155.239766081871
7,334,451.3950000000001,0.3029496644295302,0.217225697786333,0.1219732988573226,3045250,466.4403906495171,228.71276209336096,0.23452947744615374,298,1.351482035928144,0.7674924902461777,9117.51497005988
8,312,398.2289999999999,0.3016886363636364,0.2152589189189189,0.12137287861666679,2712235,469.2831872228967,204.64245066566303,0.22132296218346417,264,1.2763749999999998,0.7751607979759964,8693.060897435897
9,280,377.86000000000007,0.3059595141700404,0.22438242280285037,0.12737247760834078,2397199,461.4540729244492,195.85690641410187,0.23452091512711212,247,1.3495000000000001,0.7929429409477808,8561.425
10,260,334.40299999999985,0.29857410714285715,0.21913695937090433,0.12513940424614306,2133265,464.37262352209257,175.52829884395675,0.24949785535370345,224,1.286165384615384,0.7836084769819498,8204.865384615385
11,227,279.34299999999985,0.29098229166666667,0.226739448051948,0.12269040782035051,1795297,481.515315215497,155.62806607543408,0.21252086878351442,192,1.2305859030836999,0.8105628441428858,7908.797356828194
12,194,226.53700000000015,0.27130179640718566,0.2205813047711782,0.12987352832784244,1578486,488.36990429695965,133.50880718008477,0.24254624792930116,167,1.1677164948453616,0.7994539352100885,8136.525773195876
13,166,192.7550000000002,0.2695874125874126,0.22079610538373423,0.12561048041961556,1363293,529.5388752167715,118.31678245966418,0.21853865684885052,143,1.1611746987951819,0.8273900871305188,8212.60843373494
14,148,175.54999999999993,0.27429687500000005,0.21861768368617684,0.120565880508662,1210087,502.899828306377,105.57254165507817,0.2127393358544808,128,1.186148648648648,0.8247854816802982,8176.263513513513
15,128,160.88700000000028,0.2872982142857143,0.22564796633941095,0.12713485589807097,1072532,465.04771891392755,91.37152719169598,0.2208550648553044,112,1.2569296875000022,0.8158172070687141,8379.15625
16,118,132.20200000000014,0.2812808510638298,0.2125434083601286,0.10024792680918962,930556,465.7134292795841,78.15394718540506,0.18756188609189345,94,1.120355932203391,0.8314249700575006,7886.067796610169
17,100,114.05299999999997,0.26836,0.21807456978967496,0.12189375754974098,785041,490.0639349955878,70.06888986541955,0.21721325727818744,85,1.1405299999999996,0.8243398807696417,7850.41
18,88,108.31599999999999,0.2850421052631579,0.2251891891891892,0.13793270063301302,736325,501.83532311443076,63.87815394934991,0.2179111148337581,76,1.2308636363636363,0.8405020256493408,8367.329545454546
19,75,97.64999999999999,0.2872058823529412,0.21993243243243243,0.13166648397443967,690255,479.723535440913,56.485698701268646,0.20934321090798505,68,1.3019999999999998,0.830672039724539,9203.4
20,71,82.10700000000004,0.2692032786885246,0.228075,0.13141553027409744,586612,479.3115543911283,51.912568994016596,0.2069772992827869,61,1.1564366197183105,0.8510257212133868,8262.140845070422
21,59,67.94400000000002,0.27177599999999996,0.23510034602076124,0.14484806608655573,493560,518.4403968958816,43.11280530448382,0.18752083216475254,50,1.1515932203389834,0.8622561060896764,8365.42372881356
22,51,49.24099999999998,0.23448095238095235,0.24256650246305414,0.19211370109612425,324269,393.9919232847033,36.25058722587385,0.258892599240028,42,0.9655098039215682,0.8631092196636632,6358.21568627451
23,24,16.504000000000005,0.16504000000000002,0.257875,0.1674495726330766,111697,400.9539890291146,18.711352158633556,0.062228386501439005,20,0.6876666666666669,0.9355676079316778,4654.041666666667
