,Kx,FOx_STD,RMx_STD,RMk
0,1489,0.1049219721870171,0.15475908542798,151
1,1489,0.1554360948383632,0.1692910171719191,169
2,1489,0.14992186548600314,0.1492108952361208,213
3,1451,0.154178869382835,0.13597984012376796,277
4,1387,0.12377785084364103,0.12881795305695526,295
5,1308,0.12469897495136742,0.12374964935134963,332
6,1199,0.1893087756057379,0.12421557233656838,339
7,1083,0.1916077951712967,0.1134933343789306,309
8,971,0.20942654117969411,0.11127632540982853,296
9,853,0.14855247496197216,0.11478036111136758,262
10,734,0.13638010069523804,0.10893014837198337,235
11,642,0.13916785673458248,0.12169078528917779,197
12,564,0.13692488713732254,0.11084211779662898,178
13,481,0.14391478759227963,0.11057050026739396,152
14,412,0.13124621065716566,0.11402465095710951,123
15,351,0.17653048662836873,0.11684459251884609,101
16,300,0.18857969736181315,0.10931171743817726,94
17,257,0.12830512821941087,0.10935764309283261,74
18,226,0.12575361588052572,0.11688752459522758,77
19,187,0.14467953366182104,0.11943418470239,56
20,151,0.11722083338356556,0.11225716117210949,41
21,122,0.14169545714516116,0.13868120300208342,35
22,88,0.15302901460097376,0.11461166282404,25
23,47,0.1827046500949693,0.1040967826525848,12
