,Kx,FOx,FOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx
0,1456,89,0.2823334230349357,45.981904761904744,0.39970646659464487,89,0.061126373626373624,0.5166506153023005
1,1456,76,0.2546826005071689,43.600952380952364,0.4024089708424457,76,0.0521978021978022,0.5736967418546364
2,1456,76,0.2533954906327426,39.99777777777778,0.39574612134557813,76,0.0521978021978022,0.5262865497076024
3,1456,84,0.26513719386196666,40.362222222222215,0.3964337968261662,84,0.057692307692307696,0.48050264550264543
4,1456,110,0.2977226247859713,57.71968253968253,0.3972160933411605,110,0.07554945054945054,0.5247243867243866
5,1456,144,0.33333216068763943,79.67333333333335,0.40192318173299646,144,0.0989010989010989,0.5532870370370371
6,1456,174,0.36343802238944634,97.84095238095246,0.39984565021866736,174,0.11950549450549451,0.5623043240284624
7,1456,186,0.37227785888724096,97.93142857142868,0.39903956606066315,186,0.12774725274725274,0.5265130568356381
8,1456,229,0.40751076619815063,127.42000000000007,0.4008673358060815,229,0.15728021978021978,0.5564192139737995
9,1456,248,0.4178813149548921,134.4758730158731,0.40668832360360135,248,0.17032967032967034,0.5422414234511013
10,1456,275,0.4332752927852654,152.2336507936508,0.39857886078385396,275,0.18887362637362637,0.5535769119769121
11,1453,323,0.45639596135869376,177.41428571428577,0.39904471619894644,323,0.22229869236063318,0.5492702344095535
12,1448,346,0.4645630128451962,191.68063492063493,0.3980482160707152,346,0.23895027624309392,0.5539902743370951
13,1441,339,0.46582045116085063,201.88412698412694,0.3848905039330209,339,0.23525329632199862,0.5955283981832653
14,1437,362,0.4710788551617998,210.89047619047608,0.39082675083816876,362,0.25191370911621436,0.5825703762167848
15,1432,395,0.4834151740769137,230.35206349206342,0.3923415575160776,395,0.27583798882681565,0.5831697809925657
16,1426,418,0.48773309967684486,248.97460317460303,0.3919212610121055,418,0.29312762973352036,0.5956330219488111
17,1414,411,0.48664068099869934,249.87523809523802,0.39332461190016,411,0.29066478076379065,0.6079689491368322
18,1410,447,0.49344855482889044,272.031746031746,0.3943101946244426,447,0.3170212765957447,0.608572138773481
19,1397,428,0.49020193267889295,242.54317460317458,0.3978560331476517,428,0.30637079455977095,0.5666896602877911
20,1394,431,0.4913452226879993,254.07238095238088,0.39051202534606116,431,0.30918220946915353,0.5894950834161969
21,1388,421,0.4903987698060036,251.04412698412693,0.3939626582623798,421,0.30331412103746397,0.5963043396297552
22,1381,427,0.49340166064927504,248.11047619047613,0.398260947313318,427,0.30919623461259954,0.5810549793687966
23,1368,424,0.4924178789803329,254.69714285714278,0.38179198051047963,424,0.30994152046783624,0.6007008086253367
24,1361,398,0.4871006354172682,252.2739682539681,0.3755420047598898,398,0.2924320352681852,0.6338541915928847
25,1348,399,0.49018333958577054,246.27142857142843,0.39093522947643133,399,0.2959940652818991,0.6172216254923019
26,1331,416,0.49282249249377336,261.8041269841268,0.38615853672635586,416,0.3125469571750564,0.6293368437118433
27,1321,425,0.49472540627623734,270.9799999999998,0.3797058368952052,425,0.32172596517789553,0.6375999999999995
28,1310,421,0.4950178689154625,273.15174603174603,0.37737097778513484,421,0.32137404580152673,0.6488164988877578
29,1291,403,0.4946285284336892,254.53904761904747,0.37747714443273817,403,0.31216111541440744,0.6316105399976364
30,1280,422,0.4956456572199961,266.09873015873,0.38746502768896013,422,0.3296875,0.6305657112766114
31,1273,425,0.49581589659771924,258.4850793650794,0.38682800201644857,425,0.33385703063629224,0.6082001867413633
32,1256,404,0.4959237957188541,255.74317460317468,0.38225322337925344,404,0.321656050955414,0.6330276599088482
33,1240,391,0.4954908156495083,243.84476190476184,0.3878764523673728,391,0.3153225806451613,0.6236438923395443
34,1228,379,0.49358722624251944,240.86190476190464,0.39686732487677134,379,0.30863192182410426,0.6355195376303553
35,1212,392,0.4957030419454509,259.75142857142845,0.3774876280345722,392,0.3234323432343234,0.6626311953352767
36,1200,381,0.4944484411411485,240.25746031746027,0.39532811617429925,381,0.3175,0.6305970087072448
37,1191,385,0.49543427344413526,242.05460317460322,0.38719723077404483,385,0.3232577665827036,0.6287132549989694
38,1174,373,0.4951066879797893,224.37428571428566,0.39198862897595516,373,0.31771720613287907,0.6015396399846801
39,1152,378,0.4961419777247086,245.33269841269833,0.37631676267559144,378,0.328125,0.6490283026790962
40,1138,359,0.4946983666062609,242.4720634920634,0.369617364271052,359,0.3154657293497364,0.6754096476102045
41,1127,375,0.4960231104584303,263.4485714285714,0.3613151255746521,375,0.33274179236912155,0.7025295238095238
42,1114,372,0.4970801343920777,245.86984126984117,0.3813833247910514,372,0.3339317773788151,0.6609404335210785
43,1100,345,0.49342785270852035,238.0339682539682,0.36482067663825674,345,0.31363636363636366,0.6899535311709223
44,1079,329,0.49215295678475035,229.2984126984127,0.36891116934886015,329,0.3049119555143652,0.696955661697303
45,1069,328,0.49284502998530133,221.05682539682542,0.3813453960224088,328,0.3068288119738073,0.6739537359659311
46,1053,316,0.4913158059448312,212.2809523809524,0.3809237809648918,316,0.30009496676163344,0.6717751657625076
47,1034,319,0.4931533509119584,218.859365079365,0.3681150590759795,319,0.30851063829787234,0.6860795143553762
48,1023,311,0.49294996184192674,209.3812698412697,0.3791417575781919,311,0.3040078201368524,0.6732516715153366
49,1007,304,0.491677390721591,201.95968253968246,0.3938359134514961,304,0.3018867924528302,0.6643410609857976
