,Kx,FOx,RMx,RMk,PROP_FOx,AVG_RMx
0,1416,107,63.69206349206345,107,0.07556497175141243,0.5952529298323687
1,1416,86,44.8942857142857,86,0.06073446327683616,0.5220265780730895
2,1416,89,47.4069841269841,89,0.06285310734463277,0.5326627429998213
3,1416,107,55.07301587301586,107,0.07556497175141243,0.5147010829253819
4,1416,142,67.4111111111111,142,0.10028248587570622,0.4747261345852894
5,1416,172,97.1619047619048,172,0.12146892655367232,0.5648947951273534
6,1416,175,94.08317460317465,175,0.12358757062146893,0.5376181405895695
7,1416,217,113.88793650793657,217,0.15324858757062146,0.5248292004974036
8,1415,239,131.213015873016,239,0.16890459363957597,0.5490084346151297
9,1415,264,144.2136507936509,264,0.18657243816254418,0.5462638287638292
10,1415,310,176.57238095238102,310,0.21908127208480566,0.569588325652842
11,1415,337,191.30253968253962,337,0.2381625441696113,0.5676633225001175
12,1415,353,194.25968253968247,353,0.24946996466431096,0.5503107154098653
13,1410,368,213.71587301587311,368,0.26099290780141843,0.5807496549344379
14,1406,378,213.31015873015872,378,0.26884779516358465,0.5643125892332241
15,1401,402,224.09269841269824,402,0.28693790149892934,0.5574445234146722
16,1399,433,256.98984126984107,433,0.30950679056468905,0.5935100260273466
17,1392,418,247.30317460317445,418,0.30028735632183906,0.5916343890028097
18,1388,444,277.5831746031744,444,0.31988472622478387,0.6251873301873297
19,1379,423,255.22222222222217,423,0.3067440174039159,0.6033622274757026
20,1369,434,275.095873015873,434,0.3170197224251278,0.6338614585619193
21,1360,439,268.9723809523806,439,0.32279411764705884,0.612693350688794
22,1354,429,258.90285714285704,429,0.3168389955686854,0.6035031635031632
23,1351,424,258.1050793650794,424,0.31384159881569207,0.6087383947289609
24,1344,444,293.3955555555554,444,0.33035714285714285,0.6608008008008005
25,1336,448,275.6660317460316,448,0.33532934131736525,0.6153259637188205
26,1319,465,284.61650793650796,465,0.3525398028809704,0.6120785116914149
27,1311,451,286.2257142857144,451,0.34401220442410374,0.6346468165980363
28,1304,431,280.3774603174603,431,0.330521472392638,0.6505277501565204
29,1290,453,283.0269841269841,453,0.3511627906976744,0.6247836294193909
30,1282,419,274.2615873015871,419,0.32683307332293293,0.6545622608629764
31,1273,423,269.07174603174576,423,0.3322859387274156,0.6361034185147654
32,1261,428,275.7936507936506,428,0.3394131641554322,0.6443776887702117
33,1251,418,271.4155555555557,418,0.33413269384492406,0.6493195108984586
34,1240,400,260.1492063492063,400,0.3225806451612903,0.6503730158730157
35,1227,403,275.72063492063484,403,0.3284433577832111,0.6841703099767614
